17:28:06:416 [ALWAYS]	GUDE Logging Started
17:28:06:417 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
17:28:06:417 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
17:28:06:417 [ERROR]	Initialize resume cache pointer failure
17:28:06:417 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
17:28:06:417 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
17:28:12:893 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
17:28:12:893 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
17:28:12:893 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
17:28:12:893 [ERROR]	Initialize resume cache pointer failure
17:28:12:894 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
17:28:12:894 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
